title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Location models and GIS tools for retail site location,"R Suárez-Vega, DR Santos-Peñate…",2012,124,… Competitive location models are used to represent the interrelationships among decision … store. ► We represent both market share and cannibalization by mean maps. ► We use the …,IUSFSgyppbcJ,"R Suárez-Vega, DR Santos-Peñate… - Applied …, 2012 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0143622812000355,unknown,unknown
Retail network planning—achieving competitive advantage through geographical analysis,"A Thompson, J Walker",2005,16,"… market share can vary significantly from one local market to … and desktop mapping, for the purpose of retail market analysis, … of catchments, typically defined by radial distance, buffer, …",uAFFg-l59PUJ,"A Thompson, J Walker - … , Measurement and Analysis for Marketing, 2005 - Springer",[],https://link.springer.com/article/10.1057/palgrave.jt.5740151,unknown,unknown
Assessing GIS for retail location planning,"D Benoit, GP Clarke",1997,129,"… competitors of Aldi, and these are most likely to be retailers … These buffers have different radii according to the size of store. … retailer n for product m atj (measured by market size or share: …",nMbGGwtNMM8J,"D Benoit, GP Clarke - Journal of retailing and consumer services, 1997 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0969698996000471,unknown,unknown
Accessibility analysis and spatial competition effects in the context of GIS-supported service location planning,"JRR Van Eck, T de Jong",1999,173,"… of accessibility or expected market size for a new facility on … pressure map in the case of two competing chains of stores … count in competition, when we apply it to competing chains, we …",_ExN8UNKXrgJ,"JRR Van Eck, T de Jong - Computers, environment and urban systems, 1999 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0198971599000162,unknown,unknown
Measuring competition in spatial retail,"PB Ellickson, PLE Grieco, O Khvastunov",2016,7,"… It is quite possible for a store with a small market share within its catchment area to be … Finally, our main tract characteristic is population density, defined as density within a 5 mile radius …",BWiO44Qzbh8J,"PB Ellickson, PLE Grieco, O Khvastunov - 2016 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2819621,unknown,unknown
Assessing food retail competitors with a multi-criteria GIS-based method,"NR Tierno, AB Puig, JMB Vera…",2018,9,"… market shares, measure how new entrants in the market affect … of information on a map using a geographic coordinate … of five minutes – equivalent to a radius of 333 m for pedestrian …",w-jOsU5QU5cJ,"NR Tierno, AB Puig, JMB Vera… - Economía agraria y …, 2018 - dialnet.unirioja.es",[],https://dialnet.unirioja.es/servlet/articulo?codigo=6511295,unknown,unknown
"Evaluating the Statistical Relevance and Representativeness of Retail Data Using Geospatial, Temporal, and Competitive Analysis","F de Moura, C Augusto",2025,0,"… In the era of big data and digital mapping, geospatial analytics allow for far more granular … In computing and analyzing market shares, we also consider the competitive intensity in each …",clruMdEZ0UYJ,"F de Moura, C Augusto - … , and Competitive Analysis (May 30, 2025), 2025 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5655730,unknown,unknown
Spatial competition with endogenous location choices: An application to discount retailing,"T Zhu, V Singh",2009,208,… Each store can then be mapped to one of these neighborhood … The average market size in our data is approximately 700 … -ten mile radius of the location. We find a similar pattern to the …,A_saWqXe6E8J,"T Zhu, V Singh - QME, 2009 - Springer",[],https://link.springer.com/article/10.1007/s11129-008-9048-6,unknown,unknown
Business opportunities analysis using GIS: the retail distribution sector,"N Roig-Tierno, A Baviera-Puig…",2013,37,"… Second, competition is also located on a digital map as it is one of … of the market share of the new store captured from the existing … A search radius of 300 m has also been established, …",BctZArxUNhkJ,"N Roig-Tierno, A Baviera-Puig… - Global Business …, 2013 - Springer",[],https://link.springer.com/article/10.1007/s40196-013-0015-6,unknown,unknown
Empirical games of market entry and spatial competition in retail industries,"V Aguirregabiria, J Suzuki",2016,46,"… empirical games of market entry in retail markets share as … of radius d1 (for example, half a mile), a second ring of radius … with respect to ai in the fixed point mapping bri(., aj 5 0) starting …",G7OIhBV0YcEJ,"V Aguirregabiria, J Suzuki - … on the Economics of Retailing and …, 2016 - elgaronline.com",[],https://www.elgaronline.com/abstract/edcoll/9781783477371/9781783477371.00019.xml,unknown,unknown
