title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Applying demographic analysis to store site selection,"PA Morrison, AF Abrahamse",1996,32,… This case study illustrates how applied demographic analysis can help structure business … commercial street corner in the region directed his attention to concrete places. Our method …,uTDyyvF8nDsJ,"PA Morrison, AF Abrahamse - Population Research and Policy Review, 1996 - Springer",[],https://link.springer.com/article/10.1007/BF00125866,unknown,unknown
"Business site selection, location analysis, and gis",K Gordon,2017,10,"… business location for Starbucks and Dunkin Donuts and how customer demographics and GIS … costs and risks while rationalizing and improving the site selection process, allowing the …",iayr05Qk75gJ,K Gordon - 2017 - theseus.fi,[],https://www.theseus.fi/handle/10024/140157,unknown,unknown
Site selection for small retail stores using sustainable and location-driven indicators: Case study: Starbucks coffee shops in Los Angeles,"V Sokol, K Jordanov",2020,3,"… , and demographic profiles) with novel site-selection indicators … indicator of business performance in site selection modeling – … offers an alternative location-driven site selection …",dgiY2CyviGUJ,"V Sokol, K Jordanov - 2020 - diva-portal.org",[],https://www.diva-portal.org/smash/record.jsf?pid=diva2:1455088,unknown,unknown
Retail site selection and geographic information systems,"J Tayman, L Pol",1995,47,… of theoretical and methodological advances in site selection/location studies over the last … needed for a location-based business decision. Data on the population living in that area are …,Sz2qP5cFnhIJ,"J Tayman, L Pol - Journal of Applied Business Research, 1995 - search.proquest.com",[],https://search.proquest.com/openview/6a7aa2536d5e1c81a39345c96adba016/1?pq-origsite=gscholar&cbl=30135,unknown,unknown
Evaluation of the effects of urban planning decisions on commercial function and site selection decisions: Ümraniye-Alemdağ Street Pedestrianization Project,"BA Sertbakan, H Tahmaz, B Ünsev…",2020,3,"… In this article, the change in commercial area site selection by the dynamics of the population … With this method, a more synthesist approach will be introduced with the collection editing, …",3149Tmt9ekQJ,"BA Sertbakan, H Tahmaz, B Ünsev… - International Journal of …, 2020 - academia.edu",[],https://www.academia.edu/download/82236103/basl-bad859903f.pdf,unknown,unknown
Small-area and business demography,"SK Smith, PA Morrison",2005,38,"… analyses, customer profiles, site selection). Second are … of the population residing within five miles of a specific location). … how demographic concepts, measures, and techniques can …",lsOTFnM4IhEJ,"SK Smith, PA Morrison - Handbook of population, 2005 - Springer",[],https://link.springer.com/chapter/10.1007/0-387-23106-4_26,unknown,unknown
"A review of commercial geography: Theoretical foundations, practical applications, and prospects","H Yao, G Zhang",2024,6,"… process, population growth and increased commercial … In summary, site selection decisions for commercial facilities are … of geographic, economic, demographic, policy, and …",zJ6uBwJK7kIJ,"H Yao, G Zhang - Geographical Research Bulletin, 2024 - jstage.jst.go.jp",[],https://www.jstage.jst.go.jp/article/grb/3/0/3_183/_article/-char/ja/,unknown,unknown
A GIS application for location selection and customers' preferences for shopping malls in Al Ain City; UAE,"MY Mohamad, F Al Katheeri…",2015,40,"… attribute data about population and the methods assessed based on population measures, … proximity to the Central Business District (CBD). In term of population density, the districts …",VJgVCxg4klAJ,"MY Mohamad, F Al Katheeri… - American Journal of …, 2015 - researchgate.net",[],https://www.researchgate.net/profile/Yagoub-M-M/publication/317231479_Mohamad_M_Y_Fatima_Al_Katheeri_Abul_Salam_2015_A_GIS_Application_for_Location_Selection_and_Customers'_Preferences_for_Shopping_Malls_in_Al_Ain_City_UAE/links/592d40d5a6fdccd6a1ef6727/Mohamad-M-Y-Fatima-Al-Katheeri-Abul-Salam-2015-A-GIS-Application-for-Location-Selection-and-Customers-Preferences-for-Shopping-Malls-in-Al-Ain-City-UAE.pdf,unknown,unknown
Evaluation of commercial demographic data accuracy: Testing for input bias in the location analysis process,"W Graves, B Gerney",2018,4,"… commercial spatial analysis forces the retail, insurance and home-building industries to rely on estimates of key demographic … or Synergos) for their site selection process. Unfortunately, …",U5G4Pcwcn9AJ,"W Graves, B Gerney - Applied Geography, 2018 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0143622817306215,unknown,unknown
GIS spatial analysis: A new approach to site selection and decision making for small retail facilities,OI Aboulola,2018,16,"… demographic, retail location, and social media factors using a regression model to show the expected annual sales for each potential location selected. … and siting a retail business (Kuo, …",SecQyR_gpOEJ,OI Aboulola - 2018 - search.proquest.com,[],https://search.proquest.com/openview/4335f1762adf3b4517b885ea7ea0c34a/1?pq-origsite=gscholar&cbl=18750,unknown,unknown
