title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
An integrated SWOT-PESTLE-AHP model assessing sustainability in adaptive reuse projects,"I Vardopoulos, E Tsilika, E Sarantakou, AA Zorpas…",2021,156,… The indicators representing strengths and opportunities of … cumulative indicators values; 70.4%) compared with indicators … PESTLE analysis is considered a common research tool to …,v0XDOLCSopQJ,"I Vardopoulos, E Tsilika, E Sarantakou, AA Zorpas… - Applied Sciences, 2021 - mdpi.com",[],https://www.mdpi.com/2076-3417/11/15/7134,unknown,unknown
"Life cycle, PESTLE and multi-criteria decision analysis of CCS process alternatives","D Fozer, FZ Sziraky, L Racz, T Nagy, AJ Tarjani…",2017,67,"CO 2 is the primary greenhouse gas (GHG) due to its large quantity of anthropogenic emission. In this work the amine based carbon capture process and the CO 2 storage, called …",87SUfikCstAJ,"D Fozer, FZ Sziraky, L Racz, T Nagy, AJ Tarjani… - Journal of Cleaner …, 2017 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S095965261730063X,unknown,unknown
Objectifying SWOT and PESTLE Analysis in Hospital,V Božić,2023,4,"… Use reliable sources to understand the impact and significance … data, such as market statistics or financial indicators, can … Document the analysis process, data sources, assumptions …",w2X_rop3eQUJ,"V Božić - Доступно на: https://www. Researchgate. Net …, 2023 - researchgate.net",[],https://www.researchgate.net/profile/Velibor-Bozic-2/publication/372166219_Objectifying_SWOT_and_PESTLE_Analysis_in_Hospital/links/68311c42d1054b0207f1d9cc/Objectifying-SWOT-and-PESTLE-Analysis-in-Hospital.pdf,unknown,unknown
Identifying the main opportunities and challenges from the implementation of a port energy management system: A SWOT/PESTLE analysis,"A Christodoulou, K Cullinane",2019,203,"… resources (technical, staffing, financial, ensuring internal communication, defining the strategic energy objectives, ensuring meaningful energy performance indicators … the data sources …",yRpyB1IuVcQJ,"A Christodoulou, K Cullinane - Sustainability, 2019 - mdpi.com",[],https://www.mdpi.com/2071-1050/11/21/6046,unknown,unknown
Controlling air pollution in a city: A perspective from SOAR‐PESTLE analysis,"M Gheibi, M Karrabi, A Mohammadi…",2018,26,"… PESTLE method has been adopted in this research study as a new framework to perform a comprehensive analysis … an online monitoring system for managerial indicators, and it can be …",QM2ZarChq_oJ,"M Gheibi, M Karrabi, A Mohammadi… - Integrated …, 2018 - academic.oup.com",[],https://academic.oup.com/ieam/article-abstract/14/4/480/7732405,unknown,unknown
Power system transformation in emerging countries: A SWOT/PESTLE analysis approach towards resiliency and reliability,"K Amega, Y Moumouni, Y Laré, R Bhandari, P Takouda…",2024,14,"… , an interview with energy experts and the SWOT/PESTLE analysis to perform an in-depth and all-encompassing analysis. The study revealed that the electrification poverty was 39.47 …",cAqJ8TcZQRsJ,"K Amega, Y Moumouni, Y Laré, R Bhandari, P Takouda… - Heliyon, 2024 - cell.com",[],https://www.cell.com/heliyon/fulltext/S2405-8440(24)09049-2,unknown,unknown
Exploring macro-environmental factors influencing adoption of result-based and collective agri-environmental measures: a PESTLE approach based on stakeholder …,"T Eichhorn, L Schaller, K Hamunen, T Runge",2024,6,"… By means of a PESTLE analysis and based on a survey of 85 stakeholders from Austria and Germany, we identify major adoption factors within the political, economic, social, …",FaWwSWFxabYJ,"T Eichhorn, L Schaller, K Hamunen, T Runge - 2024 - jukuri.luke.fi",[],https://jukuri.luke.fi/items/933793f3-2281-4719-9154-3a2393b9a210,unknown,unknown
DIGITALIZATION AND INFORMALITY IN THE EU: A PESTLE-BASED CLUSTER ANALYSIS.,M Lavinia,2025,0,"… PESTLE analysis is a strategic tool for assessing external … These indicators allow for a more nuanced understanding of … , complementing the perspective offered by the PESTLE analysis. …",Fh8w8SMhiWEJ,"M Lavinia - Annals of'Constantin Brancusi'University of Targu-Jiu …, 2025 - utgjiu.ro",[],https://www.utgjiu.ro/revista/ec/pdf/2025-03/13_Mastac.pdf,unknown,unknown
Challenges of uncertainty in sustainable strategy development: Reconsidering the key performance indicators,"A Medne, I Lapiņa, A Zeps",2022,27,… the PESTLE analysis. The systematic literature review was limited to only higher education factor analysis. … evaluation and ongoing key performance indicator analysis. The approach is …,DR6MH2ntiHwJ,"A Medne, I Lapiņa, A Zeps - Sustainability, 2022 - mdpi.com",[],https://www.mdpi.com/2071-1050/14/2/761,unknown,unknown
"Comparison of desalination technologies using renewable energy sources with life cycle, PESTLE, and multi-criteria decision analyses","HT Do Thi, T Pasztor, D Fozer, F Manenti, AJ Toth",2021,184,"… The resources indicator is expressed as the surplus … analysis, comparison, and ranking of the alternatives. In this article, MCDA of desalination technologies based on PESTLE analysis …",NoPUOWv_6A4J,"HT Do Thi, T Pasztor, D Fozer, F Manenti, AJ Toth - Water, 2021 - mdpi.com",[],https://www.mdpi.com/2073-4441/13/21/3023,unknown,unknown
