title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Data-driven framework for evaluating digitization and artificial intelligence risk: a comprehensive analysis,W Badawy,2025,29,"… its application to the data lifecycle, the integration of PESTEL analysis, … health records in a secure database, allowing doctors to … Political: Government regulations on user data protection …",7gzH5FvMBpMJ,"W Badawy - AI and Ethics, 2025 - Springer",[],https://link.springer.com/article/10.1007/s43681-023-00376-4,unknown,unknown
Enhancing Data Governance and Personal Data Protection: A Strategic Review for Cases in Indonesia,"R Budiarto, IKS Buana, H Kabetta…",2024,1,… Data Protection (PDP) law and government regulations on system operators and electronic transactions. The paper presents the results of a PESTLE … The PESTLE analysis technique is …,DCNxdcGvOeEJ,"R Budiarto, IKS Buana, H Kabetta… - 2024 International …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10956499/,unknown,unknown
Guidelines for governance of data sharing in agri-food networks,"S Wolfert, MJ Bogaardt, L Ge, K Soma…",2017,12,"… that combinations of scientific databases with social media and … The description of the PESTLE factors in relation to Big Data … of a network of governmental open data policies, which can …",IpP1uhdLtx4J,"S Wolfert, MJ Bogaardt, L Ge, K Soma… - 7th Asian-Australasian …, 2017 - researchgate.net",[],https://www.researchgate.net/profile/Sjaak-Wolfert/publication/320443043_Guidelines_for_governance_of_data_sharing_in_agri-food_networks/links/59e59154a6fdcc1b1d9211a0/Guidelines-for-governance-of-data-sharing-in-agri-food-networks.pdf,unknown,unknown
Digitalization of Romania's Education Sector: A PESTLE Analysis,A Constantin,2024,5,"… In the context of the PESTLE analysis, the influence of government policies, regulations, and … The reliance on secondary data sources, such as Eurostat and European regulations, could …",uBvSJB-GuSIJ,"A Constantin - Proceedings of the International Conference on …, 2024 - sciendo.com",[],https://sciendo.com/2/v2/download/article/10.2478/picbe-2024-0009.pdf,unknown,unknown
Overview of the Malawi energy situation and A PESTLE analysis for sustainable development of renewable energy,"C Zalengera, RE Blanchard, PC Eames…",2014,260,"… of coordination among local institutions; unclear regulation enforcement; and sometimes political … Based on the prevailing energy situation, a PESTLE analysis is provided in this paper …",lkovXpBdLI0J,"C Zalengera, RE Blanchard, PC Eames… - … and Sustainable Energy …, 2014 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S136403211400375X,unknown,unknown
"A political, economic, social, technology, legal and environmental (PESTLE) approach for risk identification of the tidal industry in the United Kingdom","A Kolios, G Read",2013,147,… Even if this simplification goes through there are still a number of legislative policies … the PESTLE analysis which could dictate the future of the market on their own. The UK government …,cNrxg4GwblIJ,"A Kolios, G Read - Energies, 2013 - mdpi.com",[],https://www.mdpi.com/1996-1073/6/10/5023,unknown,unknown
DIGITALIZATION AND INFORMALITY IN THE EU: A PESTLE-BASED CLUSTER ANALYSIS.,M Lavinia,2025,0,"This paper analyses the relationship between digitalisation and the shadow economy in European countries, applying a PESTLE (Political, Economic, Social, Technological, Legal, …",Fh8w8SMhiWEJ,"M Lavinia - Annals of'Constantin Brancusi'University of Targu-Jiu …, 2025 - utgjiu.ro",[],https://www.utgjiu.ro/revista/ec/pdf/2025-03/13_Mastac.pdf,unknown,unknown
A PESTLE analysis of biofuels energy industry in Europe,"S Achinas, J Horjus, V Achinas, GJW Euverink",2019,126,"… the European regulations for … data regarding, among others, production cost and GHG emission of these reports will then be combined with the research articles obtained from databases…",b1t3J_1zHc4J,"S Achinas, J Horjus, V Achinas, GJW Euverink - Sustainability, 2019 - mdpi.com",[],https://www.mdpi.com/2071-1050/11/21/5981,unknown,unknown
Challenges and Facilitators to the Secondary Use of Routinely Collected Oral Health Data from Multiple European Countries,"H Leggett, F Fox, KV Collier, J Ciskar…",2021,0,… below: PESTLE: The modified version of the PESTLE technique … A legislative basis for routine accessing of such data for … contained in electronic health records and claims databases …,D9BmP7JR-tMJ,"H Leggett, F Fox, KV Collier, J Ciskar… - … Journal of Health …, 2021 - dergipark.org.tr",[],https://dergipark.org.tr/en/pub/ijhsrp/issue/67302/928957,unknown,unknown
Regulatory data privacy concerns in proliferating IoT era of telecommunication data monetisation: a systematic literature review,"YW Cheng, A Bilal",2025,5,"… -based data monetisation scenario through PESTLE analysis… three academic research bibliographic databases, namely … interests of data owners, intermediaries, and the government/…",aejCIoxaNC0J,"YW Cheng, A Bilal - Computing, 2025 - Springer",[],https://link.springer.com/article/10.1007/s00607-025-01542-8,unknown,unknown
